Faculty,Partner University,PU Course,PU Course Title,PU Course Units,NUS Course,NUS Course Title,NUS Course Units,Pre Approved
College of Design and Engineering,"Hong Kong Polytechnic University, The",ME33001,MECHANICS OF MATERIALS,3.00,ME2114,Mechanics of Materials,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",AF3311,Finance,3.00,EX3881,Exchange ULR Breadth,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",ME32001,MANUFACTURING FUNDAMENTALS,3.00,ME2162,MANUFACTURING PROCESSES,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",BSE3227,"Heating, Ventilation, Air Conditioning and Refrigeration I",3.00,ME4223,Thermal Environmental Engineer,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",ME31001,DYNAMICS AND VIBRATIONS,3.00,ME3115,Mechanics of Machines,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",BSE4412,Renewable Energy,3.00,ESE4406,Energy Systems and Climate Cha,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME21149,Biomaterials Science and Engineering,3.00,BN3301,Introduction To Biomaterials,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",CSE40462,Environmental Impact Assessment - theory and practice,3.00,ESE4408,Environmental Impact Assessmen,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME31134,Rehabilitation Engineering and Assistive Technology,3.00,BN4103,Assistive Technology for Perso,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",CSE30337,Water and Waste Management,3.00,ESE3401,Sustainable Urban Water Techno,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME21153,Medical Device Regulation,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",BSE4413,Indoor Air Quality Engineering,3.00,ESE3201,Air Quality in Changing Envrn,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME32140,Clinical Engineering,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",CSE560,Indoor Air Quality Management,3.00,ESE3201,Air Quality in Changing Envrn,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME32152,Clinical Engineering and Medical Technology Management,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",CSE544,Sustainable Development and Environmental Planning,3.00,CE3001,Water-Food-Energy Nexus,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME21151,Engineering Design & Biomechatronics,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",CSE518,Water and Wastewater Treatment,3.00,ESE3401,Sustainable Urban Water Techno,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",BME31103,Applied Electrophysiology,3.00,BN4402,Electrophysiology,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",CSE30331,Air and Noise Pollution Studies for Civil Engineering,3.00,ESE3201,Air Quality in Changing Envrn,4.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",APSS1A04,Understanding Ethics in Daily Life,3.00,EG2401A,Engineering Professionalism,2.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",EIE4435,Image and Audio Processing,3.00,EE4704,Image Processing and Analysis,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",ENG3004,Society and The Engineer,3.00,EG2401A,Engineering Professionalism,2.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",COMP2322,Computer Networking,3.00,EE4204,Computer Networks,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",EIE3333,Data and Computer Communications,3.00,EE4204,Computer Networks,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",EE3008,Linear Systems and Signal Processing,3.00,EE3731C,Signal Analytics,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",EIE1003,Foundations of Data Science,3.00,EE4211,Data Science for the Internet,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",EE3005,Systems and Control,3.00,EE3331C,Feedback Control Systems,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",ME31002,Linear Systems and Control,3.00,EE3331C,Feedback Control Systems,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",EIE3373,Microcontroller Systems and Interface,3.00,EE2028,Microcontroller Programming an,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",COMP2421,Computer Organization,3.00,CS2100DE,Computer Organisation,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",EIE3100,Analogue Circuit Fundamentals,3.00,EE3408C,Integrated Analog Design,4.00,True
College of Design and Engineering,"Hong Kong Polytechnic University, The",GEC2805,Governing China: Chinese Politics and legal System,2.00,EX2030,Exchange UEM,2.00,False
College of Design and Engineering,"Hong Kong Polytechnic University, The",AAE3004,Dynamical Systems and Control,3.00,ME3142,Feedback Control Systems,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CENG5530,Physical & Rheological Behavior of Polymers,3.00,CN4991,Exchange Technical Elective Co,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,CENG6000B,Polymer Physics & Advanced Applications,3.00,CN4991,Exchange Technical Elective Co,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,CENG4620,Bioproducts & Processing,3.00,CN5173,DOWNSTREAM PROCESSING OF BIOCH,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN2610,Chemical Biology for Engineers,3.00,CN4991,Exchange Technical Elective Co,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,CENG2210,Chemical & Biological Engineering Thermodynamics,3.00,CN2104,Chemical Engineering Thermodyn,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,CENG3110,Process Dymanics & Control,3.00,CN4101,Process Control and Safety,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL5470,Industrial Wastewater Treatment,3.00,CN4991,Exchange Technical Elective Co,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL3420,Water and Wastewater Engineering,3.00,CN4991,Exchange Technical Elective Co,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,IELM3901,Transportation Systems,3.00,IE4114,Exchange Elective,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL2110,Statics,3.00,ME2112,Strength of Materials,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA4130,System Simulation,3.00,IE3110R,Simulation,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ENVR 2002C,Introduction to Environmental Risk Analysis,3.00,EX3885,Exchange UEM,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA 2540,Statistics for engineers,3.00,IE3101,Statistics For Engineering App,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,MATH 4424,Multivariate statistical analysis,3.00,IE3101,Statistics For Engineering App,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA 4420,Dynamic Pricing and Revenue Optimisation,3.00,IE4214,Revenue Management and Pricing,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA3010,Prescriptive analytics,3.00,IE4211,Modelling & Analytics,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IM5213701,Data Science,3.00,IE4213,Learning from Data,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA4420,Dynamic pricing and Revenue,3.00,IE4214,Revenue Management and Pricing,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA3560,Predictive analytics,3.00,IE4211,Modelling & Analytics,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA 4000B,Decision making with machine learning,3.00,IE4211,Modelling & Analytics,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,COMP 4211,Machine Learning,3.00,IE4211,Modelling & Analytics,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA 3560,Predictive analytics,3.00,IE4213,Learning from Data,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA 4200,Design of logistics and manufacturing,3.00,IE3101,Statistics For Engineering App,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,DASC3230,Statistical Modelling and Machine Learning,3.00,IE4213,Learning from Data,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,MATH4432,Statistical Machine Learning,3.00,IE4213,Learning from Data,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,COMP 4211,Machine Learning,3.00,IE4213,Learning from Data,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4810,Introduction to Biosensors and Bioinstrumentation,3.00,BN4404,Bioelectromechanical Systems -,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL4430,Environmental Impact Assessment,3.00,ESE4408,Environmental Impact Assessmen,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,COMP4471,Deep Learning in Computer Vision,3.00,EE4704,Image Processing and Analysis,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN5010,Molecular Biology for Bioengineering,3.00,BN4403,Cellular Bioengineering,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,SUST1010,Introduction to Sustainability,3.00,GEC1040,A Culture of Sustainability,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4430,Integrated Power Electronics,3.00,EE4505,Power Semiconductor Devices &,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,LIFS3310,Biotechnological Applications of Recombinant DNA Techniques,3.00,BN4403,Cellular Bioengineering,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CE4320,Structural Steel Design,3.00,CE3166,Structural Steel Design & Syst,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4530,Fundamentals of Photovoltaic and Renewable Energy,3.00,EE4438,Solar Cells and Modules,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN4310,Statistical Signal Analysis and Application in Neural Engineering,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL3420,Water and Wastewater engineering,3.00,ESE3401,Sustainable Urban Water Techno,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4520,Integrated Circuit Fabrication Technology,3.00,EE4436,Fabrication Process Technology,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN3300,Data Science for Molecular Engineering,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL2501,Fluid Mechanics,3.00,CE2134,Fluid Mechanics,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4510,Semiconductor Materials and Devices,3.00,EE4435,Modern Transistors and Memory,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN3910,Bioengineering Laboratory,4.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL3510,Hydrosystems Engineering,3.00,CE3132,Hydrology and Free Surface Flo,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4240,Deep Learning in Computer Vision,3.00,EE4212,Computer Vision,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN2160,Chemical Biology for Engineers,3.00,BN4403,Cellular Bioengineering,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL3610,Traffic and Transportation Engineering,3.00,CE3121,Urban Transportation Engineeri,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,COMP4531,IoT and Smart Sensing,3.00,EE4211,Data Science for the Internet,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CENG4640,Biomolecular Engineering,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL3320,Design of Reinforced Concrete,3.00,CE3165,Concrete Design for Urban Infr,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC3120,Computer Communication Networks,3.00,EE4210,Network Protocols and Applicat,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CENG4620,Bioproducts and Processing,3.00,BN3501,Equilibrium and Kinetic Biopro,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CIVL2020,Industrial and BIM Training,3.00,CE2409,Computer Applications in Civil,4.00,False
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC3120,Computer Communication Networks,3.00,EE4204,Computer Networks,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,CENG4650,Biomaterials and Drug Delivery,3.00,BN3301,Introduction To Biomaterials,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,COMP4331,Data Mining,3.00,EE3801,Data Engineering Principles,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BIEN2410,Cellular and Systems Physiology for Engineers,3.00,BN2201,Quantitative Physiology for Bi,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC4410,CMOS VLSI Design,3.00,EE3408C,Integrated Analog Design,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,IEDA2540,Statistics for Engineers,3.00,BN2102,Bioengineering Data Analysis,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,COMP4621,Computer and Communication Networks,3.00,EE4204,Computer Networks,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,BTEC534O,Biomarkers and Medical Devices,3.00,BN4109,Special Topic In Bioengineerin,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC3210,Machine Learning and Information Processing for Robotics,3.00,EE3305,Robotic System Design,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC3200,"System Modeling, Analysis and Control",4.00,EE3331C,Feedback Control Systems,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,COMP2611,Computer Organization,3.00,CS2100DE,Computer Organisation,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,MATH2421,Probability,4.00,EE2012,Analytical Methods in Electric,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC2600,Probability and Random Processes in Engineering,4.00,EE2012,Analytical Methods in Electric,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC3450,Introduction to Smart Electric Power Systems,3.00,EE2022,Electrical Energy Systems,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,COMP3021,Java Programming,3.00,CS2030DE,Programming Methodology II,4.00,True
College of Design and Engineering,Hong Kong University of Science & Technology,ELEC3310,Digital Fundamentals and System Design,4.00,EE2026,Digital Design,4.00,True
