Faculty,Partner University,PU Course,PU Course Title,PU Course Units,NUS Course,NUS Course Title,NUS Course Units,Pre Approved
Faculty of Arts and Social Sciences,"Hong Kong Polytechnic University, The",CC2C08,Mutual Impressions of China and the West,3.00,PS2238,International Politics of Nort,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,POL2105,Introduction to Political Science,3.00,PS2701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,POL2104,Government and Politics in Hong Kong,3.00,PS2701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,POL2201,Public Policy and Social Development,3.00,PS2702,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,CLA2402,FRENCH 2,1.00,LAF2201,French 2,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,AIS3126,International Political Economy,3.00,PS3238,International Political Econom,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,POL3206,"Environmental Issues, Policy and Ethics",3.00,PS3713,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,POL3710,Contemporary Chinese Politics,3.00,PS3711,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,GE2210,China: A Socio-Political Transformation,3.00,PS2248,Chinese Politics,4.00,True
Faculty of Arts and Social Sciences,City University of Hong Kong,POL3204,Ethics and Public Policy,3.00,PS3246,Public Ethics and Corruption,4.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",PHIL2435,Traditional Chinese Political Thought,6.00,PS2253,,4.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",CCGL9004,Governance and Democracy in the Age of Globalization,6.00,PS4882A,"Topics in IR: Globalisation, S",5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3116,Theories and Practices of Social Leadership,6.00,PS3701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3064,Governance and law,6.00,PS4751,Department exchange course,5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3034,Public administration in China,6.00,PS3701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3098,Nonprofit management,6.00,PS3262,Managing Non-Profit Organisati,4.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3076,Special topics in international relations,6.00,PS4882,Topics in International Relati,5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3065,Public organization and management,6.00,PS4209,Public Organisation Theory and,5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3037,Managing people in public organizations,6.00,PS3245,Public Personnel Administratio,4.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3022,Contemporary Chinese politics,6.00,PS4225,,5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3020,Hong Kong Politics,6.00,PS4884,Topics in Public Administratio,5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3019,Hong Kong and the world,6.00,PS4203,China's Foreign Policy,5.00,True
Faculty of Arts and Social Sciences,"University of Hong Kong, The",POLI3079,Global Justice,6.00,PS4215,Politics of Non-Violence,5.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",GLBS3502,ICT & the Global Order,3.00,GL3741,Department exchange course,4.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",GLSD2001,Research Methods for Global Studies,3.00,GL3101,Inquiry and Method,4.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",GLBS4402,"New Security Challenges: Terrorism, Ethnic Conflicts and Human Trafficking",3.00,GL4889,Topics in War and Security,5.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",GLBS4104,"Global Development, Markets and States",3.00,GL4882A,Development and the Globalisat,5.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",GDRS4011,Gendered Migration in Transnational Asia and beyond,3.00,GL4886,Topics in Population and Migra,5.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",FREN1000,French I,1.00,LAF1201,French 1,4.00,True
Faculty of Arts and Social Sciences,"Chinese University of Hong Kong, The",GPAD3190,Politics of Development,3.00,PS3263,Comparative Study of Developme,4.00,True
Faculty of Arts and Social Sciences,Trinity College Dublin,PO372C,Political Violence,5.00,PS4751,Department exchange course,5.00,True
Faculty of Arts and Social Sciences,Trinity College Dublin,PO365C,Government and Politics of the USA,5.00,PS2254,American Government and Politi,4.00,True
Faculty of Arts and Social Sciences,Trinity College Dublin,PO368C,European Union Politics,5.00,PS3880H,The Politics of European Integ,4.00,True
Faculty of Arts and Social Sciences,Trinity College Dublin,PO363C,Irish Politics,5.00,PS3701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Trinity College Dublin,PO367C,Democracy and Development,5.00,PS4752,Political Science Exchange Cou,5.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",IR58892,Multinational Corporations in World Politics,4.00,PS4752,Political Science Exchange Cou,5.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",PS56542,BI-NATIONALISM IN ISRAEL/PALESTINE: KEY CONCEPTS,2.00,PS3741,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",PS56982,"Weak States, Failed States and New States: the States of former Yugoslavia and Czechoslovakia",2.00,PS4753,Political Science Exchange Cou,5.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",PS56998,"Poverty, Inequality and Disadvantage",2.00,PS4753,Political Science Exchange Cou,5.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",IR48718,Game Theory: Applications in International Relations,3.00,PS3742,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",ME48288,The Arab-Israeli Conflict: From its Origins to the Present,3.00,PS2741,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,"Hebrew University of Jerusalem, The",PS56156,RELIGION AND STATE,2.00,PS2703,POLITICAL SCIENCE EXCHANGE COU,4.00,True
Faculty of Arts and Social Sciences,Universita degli Studi di Trento,FASS-CLS-ZXY1000,Niveau A 1/a,1.00,LAF1201,French 1,4.00,True
Faculty of Arts and Social Sciences,"Ritsumeikan University,Kyoto",IR10469,Introduction to Southeast Asian Studies: Challenges to Construct a Shared Community,2.00,PS2245,Southeast Asian Politics,4.00,True
Faculty of Arts and Social Sciences,"Ritsumeikan University,Kyoto",IR13031,Gender Analysis of Security and Development,2.00,PS3237,Women and Politics,4.00,True
Faculty of Arts and Social Sciences,"Ritsumeikan University,Kyoto",IR13521,Introduction to Peace Studies,2.00,PS3239,International Conflict Analysi,4.00,True
Faculty of Arts and Social Sciences,"Ritsumeikan University,Kyoto",IR13718,International Organizations,2.00,PS3251,International Organisations,4.00,True
Faculty of Arts and Social Sciences,"Ritsumeikan University,Kyoto",IR13719,Theories of International Politics,2.00,PS2237,Introduction to International,4.00,True
Faculty of Arts and Social Sciences,Tohoku University,PU002,"Japanese Corporate Culture, Employment Practices",2.00,PS2745,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Tohoku University,TU001,Global Governance and Japan���s International Cooperation,2.00,PS3741,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Kyushu University,ZXX001,Contemporary Japanese politics,2.00,PS2741,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Waseda University,INTA361L,Social and International Relations of Japan,4.00,PS2706,,4.00,True
Faculty of Arts and Social Sciences,Waseda University,POLX251L,"Public Management, Public Service and Local Government",4.00,PS3721,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,INTB251L,Human Security 51,2.00,PS2701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IR402,United States Politics and Foreign Policy,4.00,PS3242,US Foreign Policy,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IR314,Introduction to World Politics and Journalism,4.00,PS3711,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IR313,"Pacific Perspectives on Empire, War, and Globalization 01",4.00,PS3745,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IR303,International Law,4.00,PS3704,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,INTA331L,European Integration and Foreign Policy,4.00,PS4751,Department exchange course,5.00,True
Faculty of Arts and Social Sciences,Waseda University,INTA152P,Global Politics: African-American Freedom Movement 2,1.00,PS2711,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Waseda University,GO416,Conflict Resolution 01,4.00,PS4752,Political Science Exchange Cou,5.00,True
Faculty of Arts and Social Sciences,Waseda University,GO413,Ancient Political Thought 01,4.00,PS2203,Ancient Western Political Thou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,GO312,Russia: From Lenin to Putin and Medvedev 01,4.00,PS3701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,EB434,Enterprise and Governance,4.00,PS3742,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,ARSD103L,The Outline of Modern North Korea Study 1,1.00,PS2711,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Waseda University,ARSD101L,Culture and Society on the Korean Peninsula (introduction),2.00,PS2701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,ARSC101L,Understanding Taiwan (Introduction),2.00,PS2711,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Waseda University,INTB122L,The War and Peace Issues in the 21st Century 2,1.00,PS2711,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Waseda University,ARSC182S,Japan's Imperial Thought and Taiwan Beta,1.00,PS3702,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Waseda University,GO414,Modern Political Thought,4.00,PS2204,Modern Western Political Thoug,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IR401,Japan's Foreign Policy,4.00,PS3242,US Foreign Policy,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IR406,Politics in Developing Countries (African Politics),4.00,PS3242,US Foreign Policy,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IRINTA231L,Political and Economic Situations in Southern African Countries,2.00,PS3272,The International Relations of,4.00,True
Faculty of Arts and Social Sciences,Waseda University,IRINTA361L,Social and International Relations of Japan,4.00,PS2238,International Politics of Nort,4.00,True
Faculty of Arts and Social Sciences,Waseda University,POLX111L,Summer Session (Politics I) 01,2.00,PS4221,Contemporary Politics of North,5.00,True
Faculty of Arts and Social Sciences,Waseda University,POLX112L,Summer Session (Politics II) 01,2.00,PS4221,Contemporary Politics of North,5.00,True
Faculty of Arts and Social Sciences,Waseda University,ARSC181S,Japan's Imperial Thought and Taiwan Alpha,1.00,PS2701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",ARTS&SCI08B0069,Human Rights: Theory and Practice,2.00,PS3252,Human Rights in International,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",ARTS08C322507,International Conflicts and Challenges of Creating Sustainable Peace,2.00,PS3880D,Politics of the United Nations,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW011693S,Comparative Political Parties and Elections,2.00,PS2234,Introduction to Comparative Po,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW0117989,Boom and Bust: the Political Economy of Development in East Asia,2.00,GL3741,Department exchange course,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW011793S,Contemporary Chinese Politics,2.00,PS2248,Chinese Politics,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW011681S,Diversity and Inclusion,2.00,PS3236,Ethnicity and Religion in Asia,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW0116989,"Boom, Bust, and Beyond: the Political Economy of Development in East Asia",2.00,PS3261,,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",ARTS08F140513,Terrorism After World War II,2.00,PS2711,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",ARTS08C4028,Topics in Social and International,2.00,PS3701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",ARTS08C322507,Seminar in Special Topics: Foreign Policy,2.00,GL3741,Department exchange course,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",ARTS08B0032A,"Religion, Politics, and Pluralism in Modern America",1.00,PS2742,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW0117961,Introduction to International Conflicts,2.00,PS3239,International Conflict Analysi,4.00,True
Faculty of Arts and Social Sciences,"University of Tokyo, The",LAW011628S,Seminar in International Politics,4.00,PS2711,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Tokyo University of Foreign Studies,PU323007,Survey of Contemporary World and International Organizations,2.00,PS2701,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Tokyo University of Foreign Studies,PU423058,Peace & Conflict Studies seminar A,2.00,PS3731,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Vilnius University,PS13275,Russian Politics and Economy in a Post-modern World,5.00,PS4749,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Vilnius University,PS13007,Religion and Politics in a Modern Society: the Case of the 20th Century Lithuania,5.00,PS2744,Department Exchange Course,4.00,True
Faculty of Arts and Social Sciences,Vilnius University,PS13273,Nationalism and its Manifestations in Central and Eastern Europe,5.00,PS3747,Political Science Exchange Cou,4.00,True
Faculty of Arts and Social Sciences,Erasmus University,FSWSB1070,"Economics, Welfare and Distribution",4.00,PS3261,,4.00,True
Faculty of Arts and Social Sciences,Erasmus University,FSWSB1060,Organisation and Management,4.00,PS3243,Public Sector Organisational B,4.00,True
Faculty of Arts and Social Sciences,Erasmus University,FSWSB1050,Public Policy,5.00,PS4210,,5.00,True
