Faculty,Partner University,PU Course,PU Course Title,PU Course Units,NUS Course,NUS Course Title,NUS Course Units,Pre Approved
Faculty of Science,"Hong Kong Polytechnic University, The",ABCT4104,Recent Developments in Medical Biotechnology,3.00,LSM3991,Exchange Enrichment Course,4.00,True
Faculty of Science,"Hong Kong Polytechnic University, The",ABCT3405,Food Microbiology,4.00,LSM3991,Exchange Enrichment Course,4.00,True
Faculty of Science,"Hong Kong Polytechnic University, The",ABCT3113,Biochemical Techniques,4.00,LSM3991,Exchange Enrichment Course,4.00,True
Faculty of Science,"Hong Kong Polytechnic University, The",ABCT4101,Advanced Molecular Biology,3.00,LSM3991,Exchange Enrichment Course,4.00,True
Faculty of Science,"Hong Kong Polytechnic University, The",ABCT4740,Polymer Chemistry and Nanotechnology,3.00,CM3252,Introduction to Polymer Scienc,4.00,True
Faculty of Science,"Hong Kong Polytechnic University, The",ABCT3101,Immunology,3.00,LSM3223,Immunology,4.00,True
Faculty of Science,"Hong Kong Polytechnic University, The",AMA432,Mathematical Methods for Investment,3.00,ST4245,Statistical Methods for Financ,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS4150,Plant Biotechnology,3.00,LSM3991,Exchange Enrichment Course,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS4200,Concepts and Issues in Contemporary Biotechnology,3.00,LSM3991,Exchange Enrichment Course,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS4140,Cancer Biology,3.00,LSM4243,Tumour Biology,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,CHEM1002,Introduction to Chemistry of Cosmetics,3.00,PR1991,Exchange Enrichment Level 1000,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH2511,Fundamentals of Actuarial Mathematics,3.00,QF1100,Introduction to Quantitative F,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH4514,Financial Economics in Actuarial Science,3.00,QF2104,Fundamentals of Quantitative F,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH2511,Fundamentals of Actuarial Mathematics,3.00,QF2104,Fundamentals of Quantitative F,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,FINA3103,Intermediate Investments,3.00,QF2104,Fundamentals of Quantitative F,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS2060,Biodiversity,3.00,LSM2252,Biodiversity,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS2080,Plant Biology,3.00,LSM2254,Fundamentals of Plant Biology,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS3160,Ecology,3.00,LSM2251,Ecology and Environment,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS1030,Environmental Science,3.00,LSM2251,Ecology and Environment,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,NANO5600,Nanoscale Thin Films and Nano-structured Materials,6.00,PC4253,Thin Film Technology,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,ELEC4520,Integrated Circuit Fabrication Technology,6.00,PC4253,Thin Film Technology,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH4425,Introductory Time Series,3.00,ST4253,Applied Time Series Analysis,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,ISOM4540,Time Series Analysis and Forecasting,4.00,ST4253,Applied Time Series Analysis,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH3426,sampling,3.00,ST3239,Survey Methodology,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH4427,Loss Models and their Applications,3.00,ST3246,Statistical Models for Actuari,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,ISOM4720,Simulation in Business and Management,3.00,ST3247,Simulation,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS3240,Introduction to Neurobiology,3.00,LSM3215,Neuronal Signaling and Memory,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH2111,Matrix Algebra and Applications,3.00,MA2001,Linear Algebra I,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH2121,Linear Algebra,4.00,MA2101,Linear Algebra II,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH4513,Life Contingencies Models and Insurance Risk,3.00,ST3234,Actuarial Statistics,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH3425,Stochastic Modeling,3.00,ST3236,Stochastic Processes I,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,LIFS4380,Pharmacology and Toxicology,3.00,LSM3211,Fundamental Pharmacology,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,DASC3250,Numerical Methods for Data Analytics in Science,3.00,DSA2102,Essential Data Analytics Tools,4.00,True
Faculty of Science,Hong Kong University of Science & Technology,MATH3312,Numerical Analysis,3.00,DSA2102,Essential Data Analytics Tools,4.00,True
