Faculty,Partner University,PU Course,PU Course Title,PU Course Units,NUS Course,NUS Course Title,NUS Course Units,Pre Approved
NUS Business School,"Hong Kong Polytechnic University, The",MM2711,Introduction to Marketing,3.00,MKT1705X,Principles of Marketing,4.00,True
NUS Business School,"Hong Kong Polytechnic University, The",AF2504,Introduction to Business Law,3.00,BSP1702X,Legal Environment of Business,4.00,True
NUS Business School,"Hong Kong Polytechnic University, The",LGT2106,Principles of Operations Management,3.00,DAO2703,Operations and Technology Mana,4.00,True
NUS Business School,"Hong Kong Polytechnic University, The",LGT2425,Introduction to Business Analytics,3.00,DAO1704X,Decision Analytics using Sprea,4.00,True
NUS Business School,"Hong Kong Polytechnic University, The",MM2021,MANAGEMENT & ORGANISATION,,MNO1706,Organisational Behaviour,4.00,True
NUS Business School,"Hong Kong Polytechnic University, The",MM2021,MANAGEMENT & ORGANISATION,,MNO1706X,Organisational Behaviour,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT4210,CORPORATE STRATEGY,3.00,BSP3701,Strategic Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT1110,INTRODUCTION TO MANAGEMENT,3.00,MNO1706X,Organisational Behaviour,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT2110,ORGANIZATIONAL BEHAVIOUR,3.00,MNO1706X,Organisational Behaviour,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT1110,INTRODUCTION TO MANAGEMENT,3.00,MNO1706,Organisational Behaviour,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT2110,ORGANIZATIONAL BEHAVIOUR,3.00,MNO1706,Organisational Behaviour,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA4603,VENTURE CAPITAL FINANCING,3.00,FIN4717,Entrepreneurial Finance,4.00,True
NUS Business School,Hong Kong University of Science & Technology,ISOM2700,OPERATIONS MANAGEMENT,3.00,DAO2703,Operations and Technology Mana,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK3410,PROMOTION AND ADVERTISING MANAGEMENT,4.00,MKT3718,Advertising & Promotion Manage,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK1220,MARKETING AND SOCIETY,3.00,MKT3761X,Topics in Marketing,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK3220,MARKETING RESEARCH,4.00,MKT3722,Research for Marketing Insight,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK3470,SERVICES MARKETING,4.00,MKT3711,Services Marketing,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT3110,HUMAN RESOURCES MANAGEMENT,4.00,MNO3701,Human Capital Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK3480,PRICING STRATEGY,3.00,MKT4811,Pricing Strategy,4.00,False
NUS Business School,Hong Kong University of Science & Technology,ISOM4750,BUSINESS PROJECT MANAGEMENT,3.00,DOS3713,Project Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK3610,DIGITAL MARKETING,4.00,MKT3714,Digital Marketing,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK1230,CONSUMERISM & HAPPINESS,3.00,MKT3761Y,Topics in Marketing,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK4450,BRAND MANAGEMENT,4.00,MKT3717,Product & Brand Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,ISOM4770,SUPPLY CHAIN MANAGEMENT,3.00,DOS3701,Supply Chain Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK4210,STRATEGIC MARKETING,4.00,MKT3761Z,Topics in Marketing,4.00,True
NUS Business School,Hong Kong University of Science & Technology,ISOM3730,QUALITY & PROCESS MANAGEMENT,3.00,DOS3761X,Topics in Operations & Supply,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MARK3420,CONSUMER BEHAVIOR,4.00,MKT3702,Consumer Behaviour,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA3203,DERIVATIVE SECURITIES,3.00,FIN3712,Options and Futures,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA3204,DERIVATIVE SECURITIES,4.00,FIN3712,Options and Futures,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA3504,MANAGEMENT OF FINANCIAL INSTITUTIONS,4.00,FIN3713,Bank Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA4503,BANKING AND FINANCIAL INTERMEDIATION,3.00,FIN3713,Bank Management,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA3304,FINANCIAL MARKETS,4.00,FIN3703,Financial Markets,4.00,True
NUS Business School,Hong Kong University of Science & Technology,MGMT3140,NEGOTIATION,3.00,MNO3702,Negotiation and Conflict Mgt,4.00,True
NUS Business School,Hong Kong University of Science & Technology,FINA3104,INVESTMENT ANALYSIS AND PORTFOLIO MANAGEMENT,4.00,FIN3702,Investment Analysis and Portfo,4.00,True
NUS Business School,City University of Hong Kong,CB2300,MANAGEMENT,3.00,MNO1706X,Organisational Behaviour,4.00,True
NUS Business School,City University of Hong Kong,MKT2681,INTRODUCTION TO MARKETING,3.00,MKT1705,Principles of Marketing,4.00,True
NUS Business School,City University of Hong Kong,MKT2681,INTRODUCTION TO MARKETING,3.00,MKT1705X,Principles of Marketing,4.00,True
NUS Business School,City University of Hong Kong,CB2300,MANAGEMENT,3.00,MNO1706,Organisational Behaviour,4.00,True
