Faculty,Partner University,PU Course,PU Course Title,PU Course Units,NUS Course,NUS Course Title,NUS Course Units,Pre Approved
School of Computing,"Hong Kong Polytechnic University, The",AMA4680,Statistical Machine Learning,3.00,CS3244,Machine Learning,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3421,Web Application Design and Development,3.00,CS3226,Web Programming and Applicatio,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4133,Information Retrieval,3.00,CS3245,Information Retrieval,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4433,Data Mining and Data Warehousing,3.00,CS5228,Knowledge Discovery and Data M,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",MM4772,Product Management,3.00,IS4262,Digital Product Management,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4433,Data Mining and Data Warehousing,3.00,IS4242,Intelligent Systems and Techni,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4123,Business Process and Workflow Management,3.00,BT4301,Business Analytics Solutions D,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4142,E-Payment and Cryptocurrency,3.00,IS4302,Blockchain and Distributed Led,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",HTM4350,"Big Data Analytics in Hospitality, Tourism and Events",3.00,BT4221,Advanced Analytics with Big Da,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP2012,Discrete Mathematics,3.00,CS1231,Discrete Structures,4.00,True
School of Computing,"Hong Kong Polytechnic University, The",COMP4432,Machine Learning,3.00,CS3244,Machine Learning,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4423,Computer Vision,3.00,CS4243,Computer Vision and Pattern Re,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3422,Creative Digital Media Design,3.00,CS2108,Introduction to Media Computin,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4322,"Internetworking Protocols, Software and Management",3.00,CS4226,Internet Architecture,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3021,Programming Language Paradigms,3.00,CS4215,Programming Language Implement,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4442,Service And Cloud Computing,3.00,CS5224,Cloud Computing,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",EIE3112,Database System,3.00,CS2102,Database Systems,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3334,Computer Systems Security,3.00,CS3235,Computer Security,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4134,Biometrics And Security,3.00,CS5332,Biometric Authentication,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3241,Web Application Design and Development,3.00,IS3240,Digital Platform Strategy and,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4442,Service and Cloud Computing,3.00,IS3240,Digital Platform Strategy and,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4127,Information Systems Audit and Control,3.00,IS4234,"Governance, Regulation, and Co",4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP2411,Database Systems,3.00,CS2102,Database Systems,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP2432,Operating Systems,3.00,CS2106,Introduction to Operating Syst,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4011,Theory of Computation,3.00,CS3231,Theory of Computation,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP2322,Computer Networking,3.00,CS2105,Introduction to Computer Netwo,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4436,Artificial Intelligence of Things,3.00,CS2109S,Introduction to AI and Machine,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",EIE4100,Computer Vision and Pattern Recognition,3.00,CS4243,Computer Vision and Pattern Re,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",EIE2112,Foundation Techniques in Artificial Intelligence,3.00,CS3243,Introduction to Artificial Int,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3011,Design and Analysis of Algorithms,3.00,CS3230,Design and Analysis of Algorit,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",AMA358,Applied probability models for investment,3.00,BT4013,Analytics for Capital Market T,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",MM3841,Internet Marketing,3.00,IS3240,Digital Platform Strategy and,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4133,Information Retrieval,3.00,BT4222,Mining Web Data for Business I,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3921,"FinTech Seminars and Case Studies (I, II and III)",3.00,IS4228,Information Technologies in Fi,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP2011,Data Structures,3.00,CS2040,Data Structures and Algorithms,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4334,Principles and Practice for Internet Security,3.00,CS2107,Introduction to Information Se,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP2121,E-Business,3.00,IS4261,Designing AI-driven Business I,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4431,Artificial Intelligence,3.00,CS3243,Introduction to Artificial Int,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3423,Human Computer Interaction,3.00,CS3240,Interaction Design,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3211,Software Engineering,3.00,CS2103,Software Engineering,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4432,Machine Learning,3.00,CS2109S,Introduction to AI and Machine,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP3311,Applied Cryptography,3.00,CS4236,Cryptography Theory and Practi,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4434,Big Data Analytics,3.00,BT4221,Advanced Analytics with Big Da,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",COMP4531,Emerging Topics in FinTech,3.00,IS4228,Information Technologies in Fi,4.00,False
School of Computing,"Hong Kong Polytechnic University, The",AF4317,Derivative Securities,3.00,BT4016,Risk Analytics for Financial S,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP4111,Software Engineering Practices,3.00,CS3219,Software Engineering Principle,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP5112,Parallel Programming,3.00,CS3210,Parallel Computing,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP5311,Database Architecture and Implementation,3.00,CS3223,Database Systems Implementatio,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP5712,Introduction to Combinatorial Optimization,3.00,CS4234,Optimisation Algorithms,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP4211,Machine Learning,3.00,IT3011,Introduction to Machine Learni,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP4332,Big Data Mining and Management,3.00,CS4225,Big Data Systems for Data Scie,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP5421,COMPUTER VISION,3.00,CS4243,Computer Vision and Pattern Re,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP3311,Database Management Systems,3.00,IT2002,Database Technology and Manage,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP4651,Cloud Computing and Big Data Systems,3.00,IS4236,Cloud Services and Infrastruct,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP4461,Human-Computer Interaction,3.00,CS3240,Interaction Design,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP3511,Operating Systems,3.00,CS2106,Introduction to Operating Syst,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM3360,Data Mining for Business Analytics,4.00,IS4240,Business Intelligence Systems,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM4740,Enterprise Resource Management,3.00,IS3221,ERP Systems with Analytics Sol,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP2711,Discrete Mathematical Tools for Computer Science,4.00,CS1231,Discrete Structures,4.00,True
School of Computing,Hong Kong University of Science & Technology,COMP4621,Computer Communication Networks 1,3.00,CS2105,Introduction to Computer Netwo,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP2611,Computer Organization,4.00,CS2100,Computer Organisation,4.00,False
School of Computing,Hong Kong University of Science & Technology,ELEC2300,Computer Organization,4.00,CS2100,Computer Organisation,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM4100,Information Systems Auditing and Security,3.00,IS4234,"Governance, Regulation, and Co",4.00,False
School of Computing,Hong Kong University of Science & Technology,IEDA3300,Industrial Data Systems,3.00,IT2002,Database Technology and Manage,4.00,False
School of Computing,Hong Kong University of Science & Technology,DASC4020,Structured Query Language for Data Analytics,3.00,IT3010,Data Management for Business A,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM3260,Database Design and adminstration,3.00,BT2102,Data Management and Visualisat,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM3370,Big Data Technologies,3.00,CS4225,Big Data Systems for Data Scie,4.00,False
School of Computing,Hong Kong University of Science & Technology,DSA5012,Advanced Database Management for Data Science,3.00,CS3223,Database Systems Implementatio,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP4901G,High Performance Computing,3.00,CS3211,Concurrent Programming,4.00,False
School of Computing,Hong Kong University of Science & Technology,DSAA5012,Advanced Database Management for Data Science,3.00,CS3223,Database Systems Implementatio,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM3360,Data Mining for Business Analytics,3.00,BT4222,Mining Web Data for Business I,4.00,False
School of Computing,Hong Kong University of Science & Technology,COMP5212,Machine Learning,3.00,CS3244,Machine Learning,4.00,False
School of Computing,Hong Kong University of Science & Technology,IEDA3360,Predictive Analytics,3.00,BT4240,Machine Learning for Predictiv,4.00,False
School of Computing,Hong Kong University of Science & Technology,ISOM3350,FinTech and Cryptoventures,3.00,BT4013,Analytics for Capital Market T,4.00,False
School of Computing,Hong Kong University of Science & Technology,RMBI4210,Quantitative Methods for Risk Management,3.00,BT4016,Risk Analytics for Financial S,4.00,False
